company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
bitsIO Inc,Data Engineer,Illinois,51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,$5 to $25 million (USD),data engineer,Senior,IL,145000.0,2001.0,0.0,4.5,1.0,1.0,1.0,1.0,0.0,1.0,222.0,21.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Midwestern
Sunixa Solution,Looking for Data Architect || 100% Remote Position,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,Remote,130000.0,2018.1,1.0,4.020000000000001,0.0,0.0,1.0,0.0,0.0,0.0,56.0,3.9,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
etrailer.com,Data Engineer/Data Scientist,Remote,501 to 1000 Employees,Company - Private,Retail & Wholesale,Automotive Parts & Accessories Stores,$100 to $500 million (USD),data scientist,Senior,Remote,140000.0,1946.0,0.0,3.8,1.0,0.0,1.0,0.0,0.0,1.0,186.0,76.0,Large company,Company - Private,Other sectors,$100 million to $1 billion (USD),Remote
CUNA Mutual Group,Senior Data Engineer (Remote),Wisconsin,1001 to 5000 Employees,Company - Private,Insurance,Insurance Carriers,Unknown / Non-Applicable,data engineer,Senior,WI,125350.0,1935.0,0.0,4.1,1.0,0.0,1.0,0.0,0.0,1.0,452.0,87.0,Large company,Company - Private,Financial and housing services,Unknown / Non-Applicable,Midwestern
"AGM Tech Solutions, INC",Big Data Engineer,"Alpharetta, GA",51 to 200 Employees,Company - Private,Human Resources & Staffing,HR Consulting,$5 to $25 million (USD),data engineer,mid,GA,163000.0,2018.0,1.0,4.8,1.0,1.0,1.0,1.0,1.0,0.0,238.0,4.0,Medium-sized company,Company - Private,Business services,$5 to $100 million (USD),Southern
TICG Management LL,Data Engineer,"Farmers Branch, TX",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data engineer,Senior,TX,84452.0,2005.9,0.0,4.2700000000000005,0.0,0.0,1.0,0.0,0.0,0.0,437.0,16.1,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
Ehub Globa,Big Data Engineer,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,Remote,105000.0,2009.5,1.0,4.59,0.0,1.0,0.0,1.0,0.0,0.0,75.0,12.5,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Sai Infotech,Data Engineer-SSIS,"Charlotte, NC",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,NC,94580.0,1976.6,1.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,62.0,45.4,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
Sunera Technologies,Lead Data Engineer,Remote,1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,$25 to $100 million (USD),data engineer,Senior,Remote,162100.0,2004.0,1.0,3.9,0.0,1.0,0.0,1.0,0.0,0.0,173.0,18.0,Large company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
SPINX Digital,Senior Data Engineer,Remote,1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),data engineer,Senior,Remote,110000.0,1996.3,1.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,353.0,25.7,Small company,Company - Private,Unknown,Less than $5 million (USD),Remote
TekValue IT Solution,Data Engineer,"Houston, TX",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,TX,135000.0,2009.1,1.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,63.0,12.9,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern
