company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
TikTok,"Data Engineer, E-Commerce","Seattle, WA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data engineer,Senior,WA,223775.0,2016.0,0.0,3.6,0.0,1.0,0.0,0.0,0.0,0.0,527.0,6.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Workforce Opportunity Services,Data Engineer (Entry Level),"Dallas, TX",51 to 200 Employees,Nonprofit Organization,Nonprofit & NGO,Civic & Social Services,$5 to $25 million (USD),data engineer,junior,TX,44000.0,2005.0,1.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,303.0,17.0,Medium-sized company,Other institutions,Other sectors,$5 to $100 million (USD),Southern
MCG Health,Data Engineer,United States,201 to 500 Employees,Subsidiary or Business Segment,Healthcare,Health Care Services & Hospitals,Unknown / Non-Applicable,data engineer,Senior,WA,135800.0,1988.0,0.0,4.6,1.0,1.0,1.0,1.0,0.0,0.0,347.0,34.0,Medium-sized company,Other institutions,Healthcare,Unknown / Non-Applicable,Western
The Bank of Missouri,Contract Services Data Engineer - Entry Level,"Perryville, MO",201 to 500 Employees,Company - Private,Financial Services,Banking & Lending,Unknown / Non-Applicable,data engineer,junior,MO,42700.0,1891.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,399.0,131.0,Medium-sized company,Company - Private,Financial and housing services,Unknown / Non-Applicable,Midwestern
CVS Health,Data Engineer,Texas,10000+ Employees,Company - Public,Healthcare,Health Care Services & Hospitals,$10+ billion (USD),data engineer,Senior,TX,105000.0,1963.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,1.0,437.0,59.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Southern
Mars,Data Engineer,"Chicago, IL",10000+ Employees,Company - Private,Manufacturing,Food & Beverage Manufacturing,$10+ billion (USD),data engineer,Senior,IL,100932.0,1911.0,0.0,4.3,1.0,1.0,1.0,1.0,0.0,1.0,285.0,111.0,Huge company,Company - Private,Industry,$10+ billion (USD),Midwestern
HealthAware LLC,Data Engineer,Remote,1 to 50 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,$5 to $25 million (USD),data engineer,Senior,Remote,110000.0,2004.0,0.0,4.1,1.0,0.0,0.0,1.0,1.0,0.0,336.0,18.0,Small company,Company - Private,Healthcare,$5 to $100 million (USD),Remote
Cisco Systems,Data Engineer,"Research Triangle Park, NC",10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,$10+ billion (USD),data engineer,Senior,NC,125983.0,1984.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,479.0,38.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Southern
SnappyHires,Data Engineer,"McLean, VA",51 to 200 Employees,Company - Private,Manufacturing,Machinery Manufacturing,$1 to $5 million (USD),data engineer,Senior,VA,139000.0,2014.0,1.0,4.9,1.0,1.0,0.0,1.0,0.0,0.0,85.0,8.0,Medium-sized company,Company - Private,Industry,Less than $5 million (USD),Southern
Apolis,Sr. Data Engineer,Remote,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,$25 to $100 million (USD),data engineer,Senior,Remote,170000.0,1996.0,1.0,4.3,1.0,1.0,0.0,1.0,0.0,0.0,182.0,26.0,Large company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
N9 IT SOLUTIONS,Data Engineer,Remote,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data engineer,mid,Remote,84000.0,2016.0,1.0,4.5,1.0,0.0,0.0,1.0,0.0,0.0,226.0,6.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
NOVUS Professional Services Inc.,Senior Data Engineer (No C2C),"Greenwood Village, CO",51 to 200 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data engineer,Senior,CO,160000.0,2004.5,1.0,2.4,1.0,0.0,0.0,1.0,1.0,0.0,301.0,17.5,Medium-sized company,Company - Private,Unknown,Unknown / Non-Applicable,Western
Curinos,Data Engineer (Remote),"New York, NY",201 to 500 Employees,Company - Private,Management & Consulting,Research & Development,Unknown / Non-Applicable,data engineer,Senior,NY,105000.0,2021.0,0.0,3.4,1.0,0.0,0.0,0.0,1.0,1.0,452.0,1.0,Medium-sized company,Company - Private,Business services,Unknown / Non-Applicable,Northeastern
SETI Institute,Planetary Data Engineer,"Mountain View, CA",51 to 200 Employees,Company - Private,Nonprofit & NGO,Civic & Social Services,$5 to $25 million (USD),data engineer,mid,CA,127227.0,1984.0,0.0,4.8,1.0,0.0,0.0,0.0,1.0,0.0,285.0,38.0,Medium-sized company,Company - Private,Other sectors,$5 to $100 million (USD),Western
Xforia Inc,Data Engineer,"Durham, NC",1001 to 5000 Employees,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,NC,96511.0,1984.6,0.0,3.4,1.0,0.0,0.0,0.0,0.0,0.0,43.0,37.4,Large company,Company - Public,Unknown,Unknown / Non-Applicable,Southern
General Mills,Lead Data Engineer,"Minneapolis, MN",10000+ Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,$10+ billion (USD),data engineer,Senior,MN,124923.0,1866.0,0.0,4.1,1.0,1.0,0.0,0.0,1.0,1.0,409.0,156.0,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern
Lightcast,Data Engineer (Remote),"Moscow, ID",1 to 50 Employees,Company - Private,Government & Public Administration,State & Regional Agencies,Unknown / Non-Applicable,data engineer,mid,ID,75312.0,2011.0,0.0,4.4,0.0,1.0,0.0,1.0,0.0,1.0,246.0,11.0,Small company,Company - Private,Other sectors,Unknown / Non-Applicable,Western
Violet Ink,Data Engineer,"Newark, NJ",1 to 50 Employees,Company - Public,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,NJ,120000.0,2007.0,1.0,3.9,0.0,0.0,0.0,1.0,0.0,0.0,257.0,15.0,Small company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Northeastern
Synchrony,Data Engineer,"Chicago, IL",10000+ Employees,Company - Public,Financial Services,Banking & Lending,$10+ billion (USD),data engineer,Senior,IL,90000.0,2014.0,0.0,4.3,1.0,1.0,1.0,1.0,1.0,0.0,902.0,8.0,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Midwestern
Preludesys,Data Engineer,"Austin, TX",501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data engineer,mid,TX,103817.0,1999.0,0.0,3.8,1.0,0.0,1.0,0.0,0.0,0.0,155.0,23.0,Large company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Southern
Archon Resources,Data Engineer,"Tulsa, OK",1 to 50 Employees,Company - Public,Human Resources & Staffing,Staffing & Subcontracting,Unknown / Non-Applicable,data engineer,mid,OK,120000.0,2018.0,1.0,3.4,0.0,0.0,1.0,0.0,0.0,0.0,266.0,4.0,Small company,Company - Public,Business services,Unknown / Non-Applicable,Southern
CCC,Data Engineer,"Chicago, IL",1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,$500 million to $1 billion (USD),data engineer,Senior,IL,95136.0,1980.0,0.0,4.2,1.0,1.0,0.0,1.0,0.0,0.0,336.0,42.0,Large company,Company - Private,IT and Telecommunications,$100 million to $1 billion (USD),Midwestern
Ehub global solutio,Big Data Engineer,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,Remote,105000.0,2009.5,1.0,4.59,0.0,1.0,0.0,1.0,0.0,0.0,77.0,12.5,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
TogetherHealth,Data Engineer,"Tampa, FL",Unknown,Company - Private,Insurance,Insurance Agencies & Brokerages,Unknown / Non-Applicable,data engineer,Senior,FL,92237.0,1971.6,0.0,3.1,1.0,0.0,1.0,0.0,0.0,0.0,268.0,50.4,Unknown size,Company - Private,Financial and housing services,Unknown / Non-Applicable,Southern
Stanford Health Care,Data Engineer,"Palo Alto, CA",10000+ Employees,Hospital,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data engineer,Senior,CA,118820.0,1957.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,65.0,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Western
NYC Careers,Data Analytics Specialist,Long Island-Queens,10000+ Employees,Government,Government & Public Administration,Municipal Agencies,$10+ billion (USD),data analyst,junior,NY,88292.0,1625.0,0.0,3.6,1.0,0.0,0.0,0.0,0.0,1.0,506.0,397.0,Huge company,Other institutions,Other sectors,$10+ billion (USD),Northeastern
Applied Information Sciences,Data Engineer,"Reston, VA",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,VA,103557.0,2018.0,0.0,4.5,0.0,0.0,1.0,0.0,1.0,0.0,403.0,4.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Southern
Precision Solutions,Data Engineer,"Washington, DC",1 to 50 Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,$5 to $25 million (USD),data engineer,Senior,DC,109585.0,1993.7,0.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,392.0,28.3,Small company,Company - Private,Industry,$5 to $100 million (USD),Southern
Decision Point Healthcare,Junior Data Engineer,"Boston, MA",1 to 50 Employees,Company - Public,Unknown,Unknown,Less than $1 million (USD),data engineer,junior,MA,92003.0,2013.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,348.0,9.0,Small company,Company - Public,Unknown,Less than $5 million (USD),Northeastern
Altamira,"Data Engineer, Jr.","Springfield, VA",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,$25 to $100 million (USD),data engineer,junior,VA,90418.0,2001.0,0.0,4.1,0.0,1.0,1.0,1.0,0.0,0.0,476.0,21.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Southern
Manrco In,Data Engineer,Remote,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,data engineer,Senior,Remote,160000.0,2004.5,1.0,4.07,1.0,1.0,1.0,1.0,0.0,1.0,304.0,17.5,Unknown size,Other institutions,Unknown,Unknown / Non-Applicable,Remote
N9 IT SOLUTIONS,Entry Level Data Engineer,Remote,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data engineer,junior,Remote,70000.0,2016.0,1.0,4.5,1.0,0.0,0.0,1.0,0.0,0.0,160.0,6.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
Computing Concepts Inc,Data Engineer,"New York, NY",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data engineer,Senior,NY,118520.0,1962.9,1.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,217.0,59.1,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Northeastern
Adobe,Data Warehouse Engineer,"Lehi, UT",10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,$5 to $10 billion (USD),data engineer,mid,UT,137250.0,1982.0,0.0,4.4,1.0,1.0,0.0,0.0,0.0,0.0,317.0,40.0,Huge company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Western
Genspark,Data engineer/ Python Developer,"Dover, MO",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,MO,75000.0,2017.0,1.0,3.9,1.0,1.0,0.0,0.0,1.0,0.0,213.0,5.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Midwestern
CareFirst BlueCross BlueShield,Associate Data Engineer (Remote),"Washington, DC",5001 to 10000 Employees,Company - Private,Insurance,Insurance Carriers,$100 to $500 million (USD),data engineer,junior,DC,92305.0,1942.0,0.0,3.5,1.0,0.0,0.0,0.0,1.0,0.0,413.0,80.0,Large company,Company - Private,Financial and housing services,$100 million to $1 billion (USD),Southern
Strayer University,"Data Engineer, Associate - Hybrid or Remote","Minneapolis, MN",1001 to 5000 Employees,College / University,Education,Colleges & Universities,$25 to $100 million (USD),data engineer,junior,MN,73513.0,1892.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,362.0,130.0,Large company,Other institutions,Other sectors,$5 to $100 million (USD),Midwestern
iPipeline,Senior Data Engineer (Remote),"Exton, PA",501 to 1000 Employees,Company - Public,Information Technology,Information Technology Support Services,$100 to $500 million (USD),data engineer,Senior,PA,95585.0,1995.0,0.0,3.8,1.0,0.0,0.0,1.0,1.0,0.0,533.0,27.0,Large company,Company - Public,IT and Telecommunications,$100 million to $1 billion (USD),Northeastern
Equativ,Backend / Big Data Engineer,"Paris, OR",501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,OR,93967.0,2001.0,0.0,4.6,0.0,0.0,0.0,0.0,1.0,0.0,666.0,21.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Prestige Financial Services Inc,Data Engineer,"Draper, UT",501 to 1000 Employees,Company - Private,Financial Services,Investment & Asset Management,$1 to $5 billion (USD),data engineer,mid,UT,90710.0,1994.0,0.0,3.6,0.0,0.0,0.0,1.0,0.0,0.0,84.0,28.0,Large company,Company - Private,Financial and housing services,$1 to $10 billion (USD),Western
Nasscomm,Fivetran Data Engineer,Remote,1001 to 5000 Employees,Company - Private,Financial Services,Accounting & Tax,$1 to $5 million (USD),data engineer,mid,Remote,120000.0,2008.6,1.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,64.0,13.4,Large company,Company - Private,Financial and housing services,Less than $5 million (USD),Remote
LogixHealth,Data Engineer,"Bedford, MA",51 to 200 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,$5 to $25 million (USD),data engineer,Senior,MA,110164.0,1936.8,0.0,3.4,0.0,0.0,0.0,0.0,1.0,0.0,361.0,85.2,Medium-sized company,Company - Private,Healthcare,$5 to $100 million (USD),Northeastern
Mican Technologies,Data Engineer,"Houston, TX",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,mid,TX,135000.0,2007.0,1.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,52.0,15.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Southern
NAC IT Tech LL,GCP Data Engineer,"Irving, TX",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,TX,96564.0,1984.6,0.0,4.0200000000000005,1.0,1.0,0.0,0.0,0.0,0.0,222.0,37.4,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern
Kaizen Dynamic,Data Engineer ETL,"Washington, DC",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,Senior,DC,170000.0,2015.8,1.0,4.569999999999999,1.0,0.0,0.0,0.0,1.0,0.0,511.0,6.2,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern
Denken Solution's Inc,Data Engineer,"Tarrytown, NY",501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,$25 to $100 million (USD),data engineer,mid,NY,105000.0,2010.0,1.0,4.4,1.0,1.0,0.0,1.0,0.0,0.0,234.0,12.0,Large company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Northeastern
