job_simpl,seniority,size,type,sector,revenue,zone,salary_estimate,company_age,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern,123790.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,102817.0,108.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,junior,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Southern,150200.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,mid,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Remote,116444.0,43.0,1.0,0.0,1.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Northeastern,114768.0,111.0,1.0,0.0,1.0,1.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern,93901.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Healthcare,$10+ billion (USD),Western,116444.0,43.0,1.0,0.0,1.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Northeastern,123790.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,113710.0,28.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,mid,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern,110000.0,159.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,Healthcare,$10+ billion (USD),Midwestern,109837.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Midwestern,150200.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,mid,Huge company,Company - Public,Unknown,Unknown / Non-Applicable,Remote,98706.0,186.4,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,junior,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern,119046.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,junior,Large company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Western,115151.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0
data scientist,Senior,Large company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Northeastern,117938.0,116.0,1.0,0.0,0.0,1.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern,62500.0,100.4,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,junior,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern,102372.0,134.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,Healthcare,$10+ billion (USD),Midwestern,73813.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Southern,115673.0,38.0,1.0,1.0,0.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Southern,100000.0,45.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,Business services,Unknown / Non-Applicable,Remote,138475.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,129500.0,37.0,1.0,0.0,0.0,1.0,1.0,1.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,$1 to $10 billion (USD),Western,121209.0,70.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,junior,Large company,Other institutions,Other sectors,$1 to $10 billion (USD),Western,124335.0,26.3,1.0,0.0,1.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern,105000.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern,121382.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Small company,Company - Private,IT and Telecommunications,$1 to $10 billion (USD),Remote,114577.0,42.0,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,Senior,Large company,Other institutions,Healthcare,Unknown / Non-Applicable,Western,67500.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Northeastern,74000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,junior,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern,113750.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,mid,Small company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Remote,72500.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Large company,Company - Public,Financial and housing services,$1 to $10 billion (USD),Southern,175500.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,junior,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote,114397.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0
data scientist,Senior,Large company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Western,120000.0,42.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern,87500.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,mid,Large company,Company - Public,Healthcare,Unknown / Non-Applicable,Remote,91258.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
data analyst,junior,Large company,Company - Private,Financial and housing services,$100 million to $1 billion (USD),Western,108667.0,113.0,1.0,0.0,0.0,0.0,1.0,1.0
data analyst,Senior,Huge company,Company - Private,Other sectors,Unknown / Non-Applicable,Northeastern,127500.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Western,116952.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Medium-sized company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Northeastern,97000.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Healthcare,$10+ billion (USD),Midwestern,125491.0,49.2,0.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Large company,Company - Public,Other sectors,$1 to $10 billion (USD),Northeastern,134155.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Unknown size,Other institutions,Other sectors,Unknown / Non-Applicable,Southern,105000.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,107800.0,117.0,0.0,0.0,0.0,0.0,1.0,1.0
data scientist,mid,Small company,Company - Private,Other sectors,$1 to $10 billion (USD),Remote,105228.0,132.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Huge company,Other institutions,Other sectors,$1 to $10 billion (USD),Western,97000.0,35.0,1.0,0.0,1.0,1.0,0.0,1.0
data scientist,Senior,Huge company,Other institutions,Other sectors,$1 to $10 billion (USD),Midwestern,107210.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,mid,Huge company,Other institutions,IT and Telecommunications,$1 to $10 billion (USD),Remote,155000.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,mid,Huge company,Company - Private,Industry,$1 to $10 billion (USD),Northeastern,90000.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0
